job_id,job_title,semantic_skills,semantic_skill_count
JOB00001,Machine Learning Engineer,[],0
JOB00002,Product Analyst,[],0
JOB00003,Web Developer,[],0
JOB00004,Web Developer,[],0
JOB00005,Database Administrator,[],0
JOB00006,Machine Learning Engineer,[],0
JOB00007,Product Analyst,[],0
JOB00008,QA Engineer,[],0
JOB00009,Web Developer,[],0
JOB00010,BI Analyst,[],0
JOB00011,Product Analyst,[],0
JOB00012,Database Administrator,[],0
JOB00013,SQL Developer,[],0
JOB00014,Software Engineer,[],0
JOB00015,QA Engineer,[],0
JOB00016,Machine Learning Engineer,[],0
JOB00017,Power BI Developer,['Power BI'],1
JOB00018,Machine Learning Engineer,[],0
JOB00019,Data Engineer,[],0
JOB00020,Marketing Analyst,[],0
JOB00021,Python Developer,[],0
JOB00022,Machine Learning Engineer,[],0
JOB00023,Data Scientist,[],0
JOB00024,Product Analyst,[],0
JOB00025,DevOps Engineer,[],0
JOB00026,Web Developer,[],0
JOB00027,Data Analyst,[],0
JOB00028,Data Scientist,[],0
JOB00029,QA Engineer,[],0
JOB00030,Machine Learning Engineer,[],0
JOB00031,Machine Learning Engineer,[],0
JOB00032,Product Analyst,[],0
JOB00033,Data Scientist,[],0
JOB00034,Data Scientist,[],0
JOB00035,Business Analyst,[],0
JOB00036,Data Engineer,[],0
JOB00037,Business Analyst,[],0
JOB00038,QA Engineer,[],0
JOB00039,Python Developer,[],0
JOB00040,QA Engineer,[],0
JOB00041,Cloud Engineer,[],0
JOB00042,DevOps Engineer,[],0
JOB00043,Data Scientist,[],0
JOB00044,Web Developer,[],0
JOB00045,Product Analyst,[],0
JOB00046,Product Analyst,[],0
JOB00047,SQL Developer,[],0
JOB00048,Cloud Engineer,[],0
JOB00049,Product Analyst,[],0
JOB00050,Product Analyst,[],0
JOB00051,Business Analyst,[],0
JOB00052,Machine Learning Engineer,[],0
JOB00053,Python Developer,[],0
JOB00054,Cloud Engineer,[],0
JOB00055,SQL Developer,[],0
JOB00056,Power BI Developer,[],0
JOB00057,Product Analyst,[],0
JOB00058,Business Analyst,[],0
JOB00059,Power BI Developer,[],0
JOB00060,BI Analyst,[],0
JOB00061,DevOps Engineer,[],0
JOB00062,Product Analyst,[],0
JOB00063,Full Stack Developer,[],0
JOB00064,SQL Developer,[],0
JOB00065,HR Analyst,[],0
JOB00066,DevOps Engineer,[],0
JOB00067,Web Developer,[],0
JOB00068,HR Analyst,['HR Analytics'],1
JOB00069,Web Developer,[],0
JOB00070,Marketing Analyst,[],0
JOB00071,HR Analyst,[],0
JOB00072,Product Analyst,[],0
JOB00073,Web Developer,[],0
JOB00074,Data Scientist,[],0
JOB00075,Software Engineer,[],0
JOB00076,Data Scientist,[],0
JOB00077,SQL Developer,[],0
JOB00078,Financial Analyst,[],0
JOB00079,Financial Analyst,[],0
JOB00080,Power BI Developer,[],0
JOB00081,Data Scientist,[],0
JOB00082,Database Administrator,[],0
JOB00083,Cloud Engineer,[],0
JOB00084,Data Scientist,[],0
JOB00085,Web Developer,[],0
JOB00086,BI Analyst,[],0
JOB00087,Machine Learning Engineer,[],0
JOB00088,Data Scientist,[],0
JOB00089,QA Engineer,[],0
JOB00090,Data Analyst,[],0
JOB00091,Software Engineer,[],0
JOB00092,HR Analyst,['HR Analytics'],1
JOB00093,Cloud Engineer,[],0
JOB00094,Financial Analyst,[],0
JOB00095,Cloud Engineer,[],0
JOB00096,Data Scientist,[],0
JOB00097,Financial Analyst,[],0
JOB00098,Web Developer,[],0
JOB00099,Data Engineer,[],0
JOB00100,Cloud Engineer,[],0
JOB00101,SQL Developer,[],0
JOB00102,DevOps Engineer,[],0
JOB00103,Cloud Engineer,[],0
JOB00104,Machine Learning Engineer,[],0
JOB00105,Python Developer,[],0
JOB00106,Data Scientist,[],0
JOB00107,Data Scientist,[],0
JOB00108,HR Analyst,['HR Analytics'],1
JOB00109,Full Stack Developer,[],0
JOB00110,Python Developer,[],0
JOB00111,HR Analyst,[],0
JOB00112,HR Analyst,[],0
JOB00113,Product Analyst,[],0
JOB00114,Python Developer,[],0
JOB00115,DevOps Engineer,[],0
JOB00116,Full Stack Developer,[],0
JOB00117,Data Analyst,[],0
JOB00118,QA Engineer,[],0
JOB00119,QA Engineer,[],0
JOB00120,Database Administrator,[],0
JOB00121,DevOps Engineer,[],0
JOB00122,Cloud Engineer,[],0
JOB00123,Data Engineer,[],0
JOB00124,Business Analyst,[],0
JOB00125,Machine Learning Engineer,[],0
JOB00126,Product Analyst,[],0
JOB00127,Financial Analyst,[],0
JOB00128,HR Analyst,['HR Analytics'],1
JOB00129,Data Engineer,[],0
JOB00130,QA Engineer,[],0
JOB00131,BI Analyst,[],0
JOB00132,Web Developer,[],0
JOB00133,Power BI Developer,[],0
JOB00134,Machine Learning Engineer,[],0
JOB00135,Data Engineer,[],0
JOB00136,Data Scientist,[],0
JOB00137,Product Analyst,['Product Analytics'],1
JOB00138,Data Engineer,[],0
JOB00139,Data Analyst,[],0
JOB00140,Software Engineer,[],0
JOB00141,Data Scientist,[],0
JOB00142,Web Developer,[],0
JOB00143,HR Analyst,[],0
JOB00144,QA Engineer,[],0
JOB00145,SQL Developer,[],0
JOB00146,QA Engineer,[],0
JOB00147,QA Engineer,[],0
JOB00148,Full Stack Developer,[],0
JOB00149,Machine Learning Engineer,[],0
JOB00150,Data Scientist,[],0
JOB00151,Marketing Analyst,[],0
JOB00152,Database Administrator,[],0
JOB00153,Product Analyst,[],0
JOB00154,HR Analyst,[],0
JOB00155,Machine Learning Engineer,[],0
JOB00156,Data Scientist,[],0
JOB00157,Business Analyst,[],0
JOB00158,Power BI Developer,[],0
